true_lambda,lambda,true_p,p,true_avg_N,avg_N,N
2,4.382533451276154,0.25,0.1270300537784863,2.0,5.0,"[3, 4, 7, 7, 2, 10, 1, 7, 1, 7, 8, 9, 3, 2, 6, 5, 6, 5, 4, 3]"
2,4.218358343575774,0.25,0.11674963601473975,2.0,4.25,"[4, 5, 2, 5, 7, 8, 3, 1, 6, 4, 4, 4, 6, 6, 8, 3, 1, 4, 3, 1]"
2,4.752433334407411,0.25,0.11707673143762243,2.0,4.5,"[6, 5, 2, 4, 3, 7, 6, 5, 3, 4, 4, 5, 9, 4, 7, 2, 4, 5, 3, 2]"
2,3.3829124588704835,0.25,0.16055440945015176,2.0,3.05,"[6, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 5, 5, 3, 3, 2, 2, 3, 2, 1]"
2,5.452432162984207,0.25,0.10974320636284618,2.0,4.8,"[6, 9, 9, 5, 4, 7, 4, 5, 4, 8, 3, 2, 4, 5, 6, 2, 2, 3, 2, 6]"
2,3.1509791654187698,0.25,0.1275442496933954,2.0,2.75,"[3, 2, 3, 4, 4, 3, 4, 4, 4, 2, 1, 1, 2, 1, 5, 2, 3, 3, 3, 1]"
2,5.710963247369571,0.25,0.08558862162807868,2.0,6.55,"[6, 8, 6, 8, 5, 9, 7, 7, 8, 10, 7, 5, 7, 4, 7, 3, 7, 6, 5, 6]"
2,4.734321658782924,0.25,0.12027712348714903,2.0,4.55,"[3, 5, 4, 8, 3, 8, 5, 2, 3, 3, 3, 3, 6, 6, 9, 3, 8, 3, 4, 2]"
2,4.655442337825346,0.25,0.09023331204146201,2.0,3.9,"[3, 7, 4, 3, 4, 6, 4, 1, 2, 5, 3, 5, 5, 3, 4, 3, 4, 5, 4, 3]"
2,2.6788045558693816,0.25,0.20902765254527367,2.0,2.45,"[3, 3, 4, 1, 3, 3, 2, 1, 1, 2, 2, 3, 4, 5, 4, 1, 2, 3, 1, 1]"
2,4.839929866029736,0.25,0.10206420757996992,2.0,5.95,"[4, 8, 4, 9, 8, 6, 6, 2, 6, 7, 5, 7, 13, 5, 6, 2, 3, 7, 7, 4]"
2,4.729989523667881,0.25,0.09999042322131313,2.0,4.3,"[4, 5, 5, 2, 2, 4, 6, 4, 2, 7, 9, 6, 3, 5, 5, 1, 2, 3, 6, 5]"
2,5.033343055255982,0.25,0.14352613801410175,2.0,4.55,"[8, 3, 4, 5, 3, 10, 5, 3, 3, 3, 3, 2, 2, 11, 4, 7, 4, 3, 6, 2]"
2,2.43246077743506,0.25,0.1453085549861446,2.0,2.6,"[2, 3, 2, 6, 2, 4, 4, 1, 2, 2, 1, 3, 3, 6, 2, 1, 2, 3, 2, 1]"
2,4.773767587865606,0.25,0.05855680365064042,2.0,5.25,"[4, 10, 8, 7, 1, 7, 4, 5, 4, 4, 3, 8, 2, 2, 8, 8, 3, 6, 7, 4]"
2,4.4816208568813165,0.25,0.07876672309613153,2.0,4.5,"[2, 5, 6, 3, 1, 7, 6, 3, 5, 2, 3, 4, 2, 8, 7, 4, 7, 6, 5, 4]"
2,3.158626299843431,0.25,0.1991751368404524,2.0,2.7,"[4, 2, 1, 4, 1, 4, 5, 2, 2, 2, 2, 1, 2, 2, 3, 4, 3, 3, 6, 1]"
2,5.715775976156062,0.25,0.07191742947316915,2.0,6.25,"[10, 5, 7, 7, 5, 6, 4, 7, 3, 8, 3, 7, 10, 7, 4, 7, 10, 7, 2, 6]"
2,5.84107829743696,0.25,0.09159334927634766,2.0,5.65,"[8, 5, 3, 9, 6, 6, 8, 4, 1, 6, 7, 7, 4, 4, 7, 5, 4, 11, 2, 6]"
2,4.61966468714223,0.25,0.15787967392172475,2.0,3.6,"[4, 4, 4, 3, 2, 6, 2, 3, 2, 2, 3, 3, 6, 7, 2, 2, 6, 6, 2, 3]"
2,3.038235407452497,0.25,0.11564634159319465,2.0,2.65,"[6, 2, 3, 3, 4, 4, 2, 5, 0, 2, 1, 1, 3, 2, 4, 2, 2, 2, 4, 1]"
2,5.6291172149440305,0.25,0.0823442204725292,2.0,6.3,"[6, 8, 7, 9, 10, 6, 8, 4, 7, 6, 6, 5, 5, 2, 4, 4, 7, 9, 9, 4]"
2,5.343857434035466,0.25,0.1327566749799598,2.0,4.9,"[5, 3, 5, 9, 3, 7, 3, 3, 4, 8, 9, 5, 6, 2, 10, 2, 5, 3, 5, 1]"
2,3.384016098142247,0.25,0.16935211602539746,2.0,3.1,"[4, 4, 4, 2, 2, 5, 2, 2, 4, 3, 4, 0, 2, 4, 3, 4, 7, 4, 2, 0]"
2,3.453615291103789,0.25,0.11248257910610626,2.0,3.45,"[4, 5, 5, 2, 3, 5, 6, 5, 1, 9, 1, 3, 3, 4, 2, 2, 2, 3, 2, 2]"
2,5.428936228935164,0.25,0.0672691115182078,2.0,6.05,"[5, 7, 9, 6, 5, 6, 4, 6, 10, 5, 3, 2, 3, 5, 11, 8, 6, 6, 7, 7]"
2,5.823954309221862,0.25,0.08194092962336053,2.0,6.15,"[7, 3, 5, 6, 8, 7, 6, 7, 8, 4, 5, 4, 7, 5, 9, 2, 7, 12, 6, 5]"
2,4.495622868040219,0.25,0.09760181128639034,2.0,3.7,"[4, 3, 2, 5, 3, 6, 3, 6, 2, 6, 4, 2, 5, 3, 4, 2, 3, 2, 7, 2]"
2,4.0472548907286665,0.25,0.15132697900798942,2.0,3.95,"[3, 6, 5, 3, 4, 7, 3, 3, 3, 3, 7, 3, 3, 5, 3, 3, 2, 5, 6, 2]"
2,3.7225514552050116,0.25,0.11858714020304795,2.0,3.9,"[4, 3, 4, 4, 5, 7, 4, 4, 5, 4, 3, 2, 5, 2, 3, 4, 4, 5, 2, 4]"
2,2.5229180909808795,0.25,0.22812779953600204,2.0,2.35,"[3, 1, 4, 3, 2, 4, 1, 2, 2, 6, 2, 1, 2, 2, 2, 2, 4, 3, 1, 0]"
2,5.277004202878194,0.25,0.06978877347078616,2.0,6.0,"[8, 7, 10, 2, 2, 8, 8, 4, 5, 5, 10, 7, 7, 7, 6, 6, 5, 5, 2, 6]"
2,5.8516751198878465,0.25,0.06967224668104322,2.0,6.25,"[8, 7, 4, 6, 8, 7, 8, 4, 6, 10, 6, 5, 4, 9, 8, 4, 2, 8, 5, 6]"
2,5.762553245978704,0.25,0.07966614130523397,2.0,6.05,"[5, 6, 6, 5, 6, 8, 6, 9, 5, 6, 5, 4, 7, 5, 12, 5, 2, 8, 5, 6]"
2,2.8938249592264107,0.25,0.2539869774072421,2.0,2.3,"[3, 2, 2, 1, 1, 4, 4, 3, 1, 3, 2, 0, 2, 2, 3, 2, 2, 2, 4, 3]"
2,5.129441566235065,0.25,0.12643028204945805,2.0,6.25,"[8, 8, 5, 6, 3, 10, 10, 5, 3, 6, 7, 4, 4, 5, 9, 10, 5, 9, 3, 5]"
2,5.909216875829602,0.25,0.08333185774184093,2.0,5.45,"[5, 5, 3, 3, 8, 10, 5, 6, 3, 5, 5, 2, 4, 7, 5, 8, 7, 7, 4, 7]"
2,4.2122237263602855,0.25,0.11294260293704483,2.0,4.25,"[1, 5, 3, 4, 3, 7, 3, 3, 4, 4, 4, 5, 2, 3, 8, 5, 5, 7, 8, 1]"
2,5.845919140670081,0.25,0.06633483417285424,2.0,6.25,"[8, 3, 8, 7, 9, 6, 8, 3, 5, 6, 5, 7, 6, 7, 7, 6, 10, 6, 5, 3]"
2,3.373568312138801,0.25,0.12394293306179027,2.0,3.05,"[4, 4, 2, 2, 3, 4, 1, 3, 3, 5, 2, 4, 1, 3, 6, 2, 3, 4, 3, 2]"
2,4.639511395769173,0.25,0.0753837578395159,2.0,5.15,"[5, 6, 7, 8, 4, 8, 5, 4, 7, 5, 3, 4, 4, 6, 5, 3, 6, 5, 4, 4]"
