lambda,p,avg_N,total_N,total_time,prop_sparsity,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
