lambda,p,avg_N,total_N,total_time,prop_sparsity,N_1,N_2,N_3,N_4,N_5
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.291634750286099,0.28475077424414924,4.4,22.0,25.5103,0.13333333333333333,3.0,8.0,5.0,2.0,4.0
4.291634750286099,0.28475077424414924,4.4,22.0,25.5103,0.13333333333333333,3.0,8.0,5.0,2.0,4.0
4.291634750286099,0.28475077424414924,4.4,22.0,25.5103,0.13333333333333333,3.0,8.0,5.0,2.0,4.0
4.291634750286099,0.28475077424414924,4.4,22.0,25.5103,0.13333333333333333,3.0,8.0,5.0,2.0,4.0
4.291634750286099,0.28475077424414924,4.4,22.0,25.5103,0.13333333333333333,3.0,8.0,5.0,2.0,4.0
4.291634750286099,0.28475077424414924,4.4,22.0,25.5103,0.13333333333333333,3.0,8.0,5.0,2.0,4.0
3.8435113117068256,0.3912406151424651,3.0,15.0,25.5103,0.13333333333333333,3.0,5.0,4.0,1.0,2.0
3.8435113117068256,0.3912406151424651,3.0,15.0,25.5103,0.13333333333333333,3.0,5.0,4.0,1.0,2.0
4.2279604968163955,0.4375884494887389,3.4,17.0,25.5103,0.13333333333333333,4.0,4.0,4.0,1.0,4.0
4.2279604968163955,0.4375884494887389,3.4,17.0,25.5103,0.13333333333333333,4.0,4.0,4.0,1.0,4.0
4.2279604968163955,0.4375884494887389,3.4,17.0,25.5103,0.13333333333333333,4.0,4.0,4.0,1.0,4.0
4.2279604968163955,0.4375884494887389,3.4,17.0,25.5103,0.13333333333333333,4.0,4.0,4.0,1.0,4.0
4.2279604968163955,0.4375884494887389,3.4,17.0,25.5103,0.13333333333333333,4.0,4.0,4.0,1.0,4.0
4.2279604968163955,0.4375884494887389,3.4,17.0,25.5103,0.13333333333333333,4.0,4.0,4.0,1.0,4.0
4.2279604968163955,0.4375884494887389,3.4,17.0,25.5103,0.13333333333333333,4.0,4.0,4.0,1.0,4.0
4.2279604968163955,0.4375884494887389,3.4,17.0,25.5103,0.13333333333333333,4.0,4.0,4.0,1.0,4.0
4.2279604968163955,0.4375884494887389,3.4,17.0,25.5103,0.13333333333333333,4.0,4.0,4.0,1.0,4.0
4.2279604968163955,0.4375884494887389,3.4,17.0,25.5103,0.13333333333333333,4.0,4.0,4.0,1.0,4.0
4.2279604968163955,0.4375884494887389,3.4,17.0,25.5103,0.13333333333333333,4.0,4.0,4.0,1.0,4.0
4.2279604968163955,0.4375884494887389,3.4,17.0,25.5103,0.13333333333333333,4.0,4.0,4.0,1.0,4.0
4.2279604968163955,0.4375884494887389,3.4,17.0,25.5103,0.13333333333333333,4.0,4.0,4.0,1.0,4.0
4.2279604968163955,0.4375884494887389,3.4,17.0,25.5103,0.13333333333333333,4.0,4.0,4.0,1.0,4.0
4.2279604968163955,0.4375884494887389,3.4,17.0,25.5103,0.13333333333333333,4.0,4.0,4.0,1.0,4.0
4.2279604968163955,0.4375884494887389,3.4,17.0,25.5103,0.13333333333333333,4.0,4.0,4.0,1.0,4.0
4.2279604968163955,0.4375884494887389,3.4,17.0,25.5103,0.13333333333333333,4.0,4.0,4.0,1.0,4.0
4.2279604968163955,0.4375884494887389,3.4,17.0,25.5103,0.13333333333333333,4.0,4.0,4.0,1.0,4.0
4.2279604968163955,0.4375884494887389,3.4,17.0,25.5103,0.13333333333333333,4.0,4.0,4.0,1.0,4.0
4.2279604968163955,0.4375884494887389,3.4,17.0,25.5103,0.13333333333333333,4.0,4.0,4.0,1.0,4.0
4.2279604968163955,0.4375884494887389,3.4,17.0,25.5103,0.13333333333333333,4.0,4.0,4.0,1.0,4.0
4.2279604968163955,0.4375884494887389,3.4,17.0,25.5103,0.13333333333333333,4.0,4.0,4.0,1.0,4.0
5.312114180456886,0.3121301993990987,4.2,21.0,25.5103,0.13333333333333333,3.0,5.0,6.0,2.0,5.0
5.312114180456886,0.3121301993990987,4.2,21.0,25.5103,0.13333333333333333,3.0,5.0,6.0,2.0,5.0
5.312114180456886,0.3121301993990987,4.2,21.0,25.5103,0.13333333333333333,3.0,5.0,6.0,2.0,5.0
3.3702929920893387,0.3287024255182241,4.4,22.0,25.5103,0.13333333333333333,3.0,4.0,6.0,3.0,6.0
3.3702929920893387,0.3287024255182241,4.4,22.0,25.5103,0.13333333333333333,3.0,4.0,6.0,3.0,6.0
3.3702929920893387,0.3287024255182241,4.4,22.0,25.5103,0.13333333333333333,3.0,4.0,6.0,3.0,6.0
3.3702929920893387,0.3287024255182241,4.4,22.0,25.5103,0.13333333333333333,3.0,4.0,6.0,3.0,6.0
4.393707651118197,0.36320698721837014,3.6,18.0,25.5103,0.13333333333333333,5.0,5.0,4.0,1.0,3.0
