true_lambda,lambda,true_p,p,true_avg_N,avg_N,N
2,2.653631860469696,0.25,0.12692099724868233,2.0,3.2,"[2, 3, 4, 3, 5, 4, 2, 2, 5, 3, 2, 2, 4, 4, 5, 1, 3, 3, 3, 4]"
2,2.552895485581235,0.25,0.16480854126864208,2.0,2.85,"[2, 3, 1, 2, 3, 5, 3, 1, 4, 3, 1, 3, 3, 1, 3, 5, 2, 5, 5, 2]"
2,3.2014808722517283,0.25,0.1510259819868861,2.0,2.8,"[3, 2, 3, 3, 2, 4, 1, 5, 1, 4, 2, 3, 3, 2, 4, 1, 2, 3, 5, 3]"
2,2.681255778537527,0.25,0.13357154153526107,2.0,2.9,"[5, 2, 5, 1, 3, 4, 3, 4, 2, 4, 1, 1, 4, 1, 5, 4, 3, 4, 1, 1]"
2,4.082879713794016,0.25,0.1377606062236838,2.0,3.35,"[4, 3, 5, 2, 2, 4, 5, 1, 2, 5, 2, 3, 3, 5, 5, 4, 5, 2, 1, 4]"
2,4.387409592928898,0.25,0.12899520941662956,2.0,3.35,"[5, 5, 5, 3, 3, 3, 4, 2, 4, 3, 3, 3, 2, 2, 3, 3, 5, 3, 3, 3]"
2,2.83492415732378,0.25,0.22381400140093122,2.0,2.5,"[2, 2, 3, 4, 4, 3, 5, 1, 1, 2, 1, 5, 2, 1, 3, 1, 2, 3, 4, 1]"
2,2.434017056908785,0.25,0.12463960738681623,2.0,2.9,"[1, 4, 3, 2, 1, 5, 3, 4, 1, 5, 5, 1, 2, 3, 3, 3, 5, 4, 1, 2]"
2,3.774098561636351,0.25,0.2116140255192246,2.0,2.45,"[5, 2, 3, 2, 2, 3, 2, 2, 1, 4, 2, 2, 2, 3, 4, 1, 4, 3, 1, 1]"
2,2.9376353208688606,0.25,0.12739365766523014,2.0,2.45,"[3, 2, 3, 4, 1, 3, 2, 2, 1, 2, 3, 1, 2, 3, 5, 1, 4, 2, 4, 1]"
2,2.5875989413746288,0.25,0.12582165238821674,2.0,3.0,"[2, 4, 4, 3, 2, 5, 4, 1, 1, 2, 2, 4, 3, 4, 4, 5, 2, 2, 5, 1]"
2,4.046278994531618,0.25,0.11540359869315742,2.0,3.25,"[3, 4, 4, 4, 1, 5, 3, 3, 4, 3, 4, 2, 4, 4, 4, 2, 2, 3, 2, 4]"
2,2.8704632808943717,0.25,0.16124045941477994,2.0,2.95,"[3, 5, 4, 5, 2, 5, 1, 2, 3, 2, 3, 2, 2, 3, 3, 5, 2, 5, 1, 1]"
2,3.7774750777265105,0.25,0.10390463514619952,2.0,3.05,"[3, 4, 4, 2, 3, 5, 5, 3, 1, 3, 1, 4, 3, 3, 5, 1, 1, 4, 3, 3]"
2,2.7534939989235903,0.25,0.2186946740242488,2.0,2.55,"[1, 4, 2, 4, 3, 3, 3, 2, 2, 5, 2, 2, 1, 1, 4, 2, 2, 2, 2, 4]"
2,2.432787860004021,0.25,0.19554627971950422,2.0,2.5,"[4, 3, 5, 1, 3, 4, 3, 3, 1, 3, 1, 2, 3, 1, 3, 3, 1, 2, 1, 3]"
2,3.5042894287626054,0.25,0.12835693657009073,2.0,2.5,"[1, 4, 4, 3, 2, 3, 2, 2, 2, 4, 1, 1, 2, 2, 4, 3, 2, 3, 4, 1]"
2,2.821520902150775,0.25,0.16120087973464625,2.0,2.9,"[2, 3, 5, 2, 3, 5, 1, 1, 1, 2, 4, 2, 4, 4, 4, 4, 2, 5, 2, 2]"
2,2.1922602419948047,0.25,0.1256187854553108,2.0,2.85,"[4, 5, 3, 4, 4, 3, 4, 1, 2, 3, 2, 1, 5, 2, 5, 1, 2, 4, 1, 1]"
2,4.08474833487232,0.25,0.14388080600222874,2.0,3.25,"[2, 4, 3, 3, 4, 5, 5, 2, 4, 3, 2, 4, 3, 2, 5, 3, 2, 4, 4, 1]"
2,3.4564597886377952,0.25,0.1591653289414129,2.0,2.7,"[1, 5, 4, 4, 4, 3, 3, 2, 1, 4, 2, 3, 3, 1, 5, 1, 3, 3, 1, 1]"
2,2.0957171677905846,0.25,0.20464167760037788,2.0,2.65,"[5, 3, 3, 2, 3, 5, 3, 2, 2, 5, 2, 1, 1, 1, 4, 1, 1, 5, 2, 2]"
2,2.5116084267734364,0.25,0.21375797254323303,2.0,2.7,"[1, 5, 5, 2, 1, 5, 2, 2, 1, 3, 2, 1, 4, 5, 4, 2, 3, 2, 3, 1]"
2,2.2183534640039486,0.25,0.1278627619025875,2.0,2.7,"[2, 4, 3, 3, 1, 5, 4, 1, 4, 2, 2, 2, 1, 2, 4, 4, 1, 5, 1, 3]"
2,2.9698867309968957,0.25,0.1546266227362174,2.0,2.85,"[1, 5, 4, 1, 4, 4, 2, 1, 2, 5, 2, 4, 4, 3, 4, 1, 4, 4, 1, 1]"
